transaction_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFlaggedFraud,isFraud
TX_LIVE_449259,46,CASH_OUT,11978.49,C1027277250,47913.96,35935.47,C459504861,0.0,11978.49,0,0
TX_LIVE_1540062,259,CASH_OUT,74695.22,C1952340861,74695.22,0.0,C2048044211,0.0,74695.22,0,0
TX_LIVE_537992,133,CASH_OUT,98409.75,C177173485,98409.75,0.0,C15792162,0.0,98409.75,0,0
TX_LIVE_406578,43,CASH_OUT,197599.98,C1878399052,790399.92,592799.94,C1415910464,0.0,197599.98,0,0
TX_LIVE_1997901,327,CASH_OUT,85222.06,C555036013,340888.24,255666.18,C1611581023,0.0,85222.06,0,0
TX_LIVE_1624037,277,CASH_OUT,134653.02,C1073093386,134653.02,0.0,C1503739433,0.0,134653.02,0,0
TX_LIVE_1251975,227,CASH_OUT,199853.36,C1303094784,799413.44,599560.08,C1110294787,0.0,199853.36,0,0
TX_LIVE_1720717,285,CASH_OUT,86697.48,C35432950,346789.92,260092.44,C1842680594,0.0,86697.48,0,0
TX_LIVE_866460,178,TRANSFER,925579.44,C431984224,925579.44,0.0,C492573664,0.0,925579.44,0,1
TX_LIVE_266222,34,CASH_OUT,60816.25,C1061784336,243265.0,182448.75,C2046733751,0.0,60816.25,0,0
TX_LIVE_166132,17,CASH_OUT,370668.03,C172367085,370668.03,0.0,C1266363808,0.0,370668.03,0,0
TX_LIVE_339061,39,CASH_OUT,133785.03,C1614677638,133785.03,0.0,C275722948,0.0,133785.03,0,0
TX_LIVE_463481,117,CASH_OUT,466359.56,C1868920588,466359.56,0.0,C1810440109,0.0,466359.56,0,1
TX_LIVE_1350269,235,CASH_OUT,353519.5,C20240054,1414078.0,1060558.5,C19724314,0.0,353519.5,0,0
TX_LIVE_1058672,202,CASH_OUT,7767.45,C1164610150,31069.8,23302.35,C240791931,0.0,7767.45,0,0
TX_LIVE_2685235,548,CASH_OUT,42189.45,C134209688,200223.94,158034.49,C532809334,0.0,42189.45,0,0
TX_LIVE_958413,185,CASH_OUT,292298.75,C457672867,292298.75,0.0,C1706297395,0.0,292298.75,0,0
TX_LIVE_299851,36,TRANSFER,1233330.38,C1540343724,4933321.52,3699991.14,C825468375,0.0,1233330.38,0,0
TX_LIVE_1493203,255,CASH_OUT,210602.88,C1664020122,842411.52,631808.64,C1179939942,0.0,210602.88,0,0
TX_LIVE_2197173,353,CASH_OUT,168113.91,C1044743203,168113.91,0.0,C1154522175,0.0,168113.91,0,0
TX_LIVE_2265086,361,CASH_OUT,1276300.25,C2057725638,1276300.25,0.0,C1094429579,0.0,1276300.25,0,1
TX_LIVE_2702632,580,CASH_OUT,105861.03,C1311418994,105861.03,0.0,C294852221,0.0,105861.03,0,1
TX_LIVE_960204,185,CASH_OUT,61506.63,C343276058,246026.52,184519.89,C1562209228,0.0,61506.63,0,0
TX_LIVE_130197,15,CASH_OUT,311365.38,C2126996678,311365.38,0.0,C142246322,0.0,311365.38,0,0
TX_LIVE_602839,138,CASH_OUT,65669.52,C239456181,262678.08,197008.56,C1331978781,0.0,65669.52,0,0
TX_LIVE_1504464,256,CASH_OUT,145099.44,C1347969611,580397.76,435298.32,C555660278,0.0,145099.44,0,0
TX_LIVE_2320057,373,CASH_OUT,18570.9,C2018543780,93111.05,74540.15,C2087920784,0.0,18570.9,0,0
TX_LIVE_2428443,386,TRANSFER,1975271.25,C109944074,1975271.25,0.0,C88316037,0.0,1975271.25,0,1
TX_LIVE_1978307,326,TRANSFER,1247592.38,C1678764707,4990369.52,3742777.14,C267939889,0.0,1247592.38,0,0
TX_LIVE_2628375,465,TRANSFER,1760062.25,C1704841255,1760062.25,0.0,C1345313578,0.0,1760062.25,0,1
TX_LIVE_1330200,233,TRANSFER,122090.77,C1531940496,122090.77,0.0,C1898572552,0.0,122090.77,0,1
TX_LIVE_2010708,328,CASH_OUT,38109.22,C408269568,38109.22,0.0,C886330093,0.0,38109.22,0,0
TX_LIVE_1903736,308,TRANSFER,56592.39,C876230080,56592.39,0.0,C1193666978,0.0,56592.39,0,0
TX_LIVE_853311,177,CASH_OUT,586718.94,C1287528366,586718.94,0.0,C1067341557,0.0,586718.94,0,1
TX_LIVE_1796315,302,CASH_OUT,19221.86,C432697166,76887.44,57665.58,C49906641,0.0,19221.86,0,0
